City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3 hours),Snow inches (last 3 hours)
60,Norman Wells,CA,11/4/2019 8:03,65.28,-126.83,12.2,92,90,2.24,light snow,0,0
61,Colwyn Bay,GB,11/4/2019 8:02,53.29,-3.71,48.2,87,100,2.24,light rain,2.31,0
62,Aksarka,RU,11/4/2019 8:03,66.56,67.8,8.89,92,91,16.08,overcast clouds,0,0
63,Khatanga,RU,11/4/2019 8:03,71.98,102.47,-8.85,96,100,11.41,light snow,0,0.13
64,Lagoa,PT,11/4/2019 8:03,37.14,-8.45,64,93,40,6.93,scattered clouds,0,0
65,Porbandar,IN,11/4/2019 8:03,21.64,69.61,89.6,59,40,6.93,scattered clouds,0,0
66,Tuktoyaktuk,CA,11/4/2019 8:03,69.44,-133.03,23.14,93,100,10.51,light snow,0,0.5
67,Bluff,AU,11/4/2019 8:03,-23.58,149.07,81.37,48,16,3.87,few clouds,0,0
68,Puerto Ayora,EC,11/4/2019 8:03,-0.74,-90.35,69.01,89,60,5.99,broken clouds,0,0
69,Pueblo,US,11/4/2019 7:59,38.25,-104.61,39.2,74,1,8.05,clear sky,0,0
70,Wawa,NG,11/4/2019 8:03,9.9,4.41,85.59,60,97,0.51,overcast clouds,0,0
71,Yellowknife,CA,11/4/2019 8:03,62.45,-114.38,10.4,85,90,5.82,light snow,0,0
72,Provideniya,RU,11/4/2019 8:03,64.42,-173.23,17.67,86,0,1.43,clear sky,0,0
73,Bredasdorp,ZA,11/4/2019 8:03,-34.53,20.04,71.01,62,8,11.99,clear sky,0,0
74,Pevek,RU,11/4/2019 8:03,69.7,170.27,13.48,79,22,16.67,few clouds,0,0
75,Khorinsk,RU,11/4/2019 8:03,52.16,109.78,21.61,49,0,7.14,clear sky,0,0
76,Abu Dhabi,AE,11/4/2019 8:03,24.47,54.37,86,55,0,6.93,clear sky,0,0
77,San Ramon,NI,11/4/2019 8:03,12.92,-85.84,63.93,98,18,4.7,few clouds,0,0
78,Yaan,NG,11/4/2019 8:03,7.38,8.57,84.94,69,27,2.86,scattered clouds,0,0
79,Bhattiprolu,IN,11/4/2019 8:03,16.1,80.78,91.4,59,20,8.05,haze,0,0
80,Dikson,RU,11/4/2019 8:03,73.51,80.55,12.65,92,100,20.56,light snow,0,0.88
81,Namibe,AO,11/4/2019 8:03,-15.19,12.15,77,73,90,5.66,overcast clouds,0,0
82,Castro,CL,11/4/2019 8:03,-42.48,-73.76,42.8,93,40,6.93,scattered clouds,0,0
83,Belyy Yar,RU,11/4/2019 8:03,53.6,91.39,28.4,68,100,2.24,overcast clouds,0,0
84,Tignere,CM,11/4/2019 8:03,7.37,12.65,84,55,89,1.77,overcast clouds,0,0
85,Hobart,AU,11/4/2019 8:00,-42.88,147.33,55,58,75,12.75,broken clouds,0,0
86,Katobu,ID,11/4/2019 8:03,-4.94,122.53,86.85,58,78,3.24,light rain,0.5,0
87,Hilo,US,11/4/2019 8:03,19.71,-155.08,78.8,74,90,5.03,overcast clouds,0,0
88,Tuatapere,NZ,11/4/2019 8:03,-46.13,167.69,66,50,100,4,light rain,0.13,0
89,Okrika,NG,11/4/2019 8:03,5.52,7.78,87.33,65,43,2.53,scattered clouds,0,0
90,Xichang,CN,11/4/2019 8:03,27.88,102.25,51.08,82,57,4.29,light rain,2.19,0
